"corpus","n_train_runs","n_eval_runs","best_eval_run","best_eval_combined","best_eval_recall_run","best_eval_recall","best_eval_temporal_run","best_eval_dmdgen","frontier_run","frontier_best_train_combined","frontier_best_train_recall","eval_block_diff","eval_block_n_block","eval_block_n_random","train_block_diff","train_block_n_block","train_block_n_random","eval_pcf_diff","eval_pcf_n_on","eval_pcf_n_off","train_pcf_diff","train_pcf_n_on","train_pcf_n_off","eval_multiscale_diff","eval_multiscale_n_on","eval_multiscale_n_off","train_multiscale_diff","train_multiscale_n_on","train_multiscale_n_off","eval_mixed_diff","eval_mixed_n_on","eval_mixed_n_off","train_mixed_diff","train_mixed_n_on","train_mixed_n_off","train_retrieval_diff","train_retrieval_n_on","train_retrieval_n_off"
"tencent",91,28,"tencent_v103",0.09837,"tencent_v93",0.5535,"tencent_v68",0.6351,"tencent_v74",0.06476,0.7,-0.000183166666666651,20,6,-0.00433020594965675,69,19,-0.01031025,10,16,-0.00592858914728682,43,45,0.0353488,1,25,-0.0223113642756681,9,79,0.0204238636363636,4,22,-0.000297692307692304,36,52,-0.0363110344827586,1,87
"alibaba",118,33,"alibaba_v71",0.06709,"alibaba_v71",0.7005,"alibaba_v82",0.6785,"alibaba_v116",0.06918,0.703,-0.000159700000000013,25,8,-0.0437915362318841,69,45,0.00862681818181818,11,22,-0.0339554092071611,46,68,0.049886935483871,2,31,-0.019112480141218,11,103,NA,0,33,-0.0294401769911504,1,113,NA,0,114
